ts,open,high,low,close,volume
1763417280000,91998.23,91999.0,91765.19,91999.0,3.07819
1763417340000,91999.0,92142.49,91999.0,92142.49,0.0532
1763417400000,92142.49,92142.49,92142.49,92142.49,0.0
1763417460000,92142.49,92142.49,92142.49,92142.49,0.0
1763417520000,92142.52,92162.73,92142.49,92162.73,0.01326
1763417580000,92241.67,92241.67,92241.67,92241.67,2e-05
1763417640000,91911.55,92240.82,91911.55,92240.82,0.00038
1763417700000,92240.56,92240.6,91913.55,91913.73,0.00037
1763417760000,92240.33,92240.33,91914.51,91914.8,8e-05
1763417820000,92240.22,92240.22,92240.22,92240.22,1e-05
1763417880000,91918.34,92239.49,91918.34,92239.49,0.00044
1763417940000,91919.21,92238.89,91919.21,91919.33,0.00175
1763418000000,92238.39,92238.39,91919.38,91919.38,0.0014
1763418060000,92212.77,92212.77,91919.36,91919.42,0.0017
1763418120000,92213.04,92213.04,91919.84,91920.41,0.00103
1763418180000,92212.3,92212.3,92212.3,92212.3,1e-05
1763418240000,92241.46,92241.46,92241.46,92241.46,0.00031
1763418300000,91922.95,92241.67,91922.95,92241.5,0.0003
1763418360000,91924.72,92241.16,91924.72,92240.6,0.00018
1763418420000,92239.28,92239.28,91926.02,91926.02,0.00141
1763418480000,92000.01,92242.29,92000.01,92242.29,0.00169
1763418540000,92050.45,92257.58,92050.44,92257.47,0.00142
1763418600000,92188.72,92257.77,92050.76,92050.83,0.00102
1763418660000,92257.73,92257.77,92051.17,92051.37,0.00036
1763418720000,92257.71,92257.71,92257.71,92257.71,0.00027
1763418780000,92257.77,92257.77,92257.77,92257.77,0.22813
1763418840000,92257.77,92257.77,92257.77,92257.77,0.0
1763418900000,92257.77,92257.77,92257.77,92257.77,0.0
1763418960000,92257.77,92257.77,92257.75,92257.75,0.00048
1763419020000,92257.75,92257.75,92257.75,92257.75,0.0
1763419080000,92257.75,92257.75,92257.75,92257.75,0.0
1763419140000,92257.75,92257.75,92257.75,92257.75,0.0
1763419200000,92257.75,92257.75,92257.75,92257.75,0.0
1763419260000,92257.75,92257.75,92257.75,92257.75,0.0
1763419320000,92257.79,92257.79,92257.79,92257.79,0.00029
1763419380000,92257.79,92257.79,92257.79,92257.79,0.0
1763419440000,92360.9,92360.9,92360.9,92360.9,0.00035
1763419500000,92360.9,92360.9,92360.9,92360.9,0.0
1763419560000,92360.9,92360.9,92360.9,92360.9,0.0
1763419620000,92360.9,92360.9,92360.9,92360.9,0.0
1763419680000,92360.9,92360.9,92360.9,92360.9,0.0
1763419740000,92360.9,92361.77,92360.9,92361.77,9e-05
1763419800000,92361.77,92361.77,92361.77,92361.77,0.0
1763419860000,92184.54,92184.54,92184.54,92184.54,8e-05
1763419920000,92184.54,92184.54,92184.54,92184.54,0.0
1763419980000,92184.54,92184.54,92184.54,92184.54,0.0
1763420040000,92449.23,92449.23,92448.83,92448.83,0.00038
1763420100000,92448.83,92448.83,92448.83,92448.83,0.0
1763420160000,92448.83,92448.83,92448.83,92448.83,0.0
1763420220000,92186.93,92444.57,92186.86,92186.86,0.00057
1763420280000,92186.88,92186.88,92186.88,92186.88,6e-05
1763420340000,92442.07,92442.07,92442.07,92442.07,2e-05
1763420400000,92442.07,92442.07,92442.07,92442.07,0.0
1763420460000,92442.07,92442.07,92442.07,92442.07,0.0
1763420520000,92200.21,92200.21,92200.21,92200.21,0.00023
1763420580000,92436.93,92436.93,92435.44,92435.44,0.00029
1763420640000,92434.7,92434.7,92434.69,92434.69,0.00014
1763420700000,92432.69,92432.69,92432.56,92432.56,8e-05
1763420760000,92201.35,92431.23,92201.35,92431.23,0.00058
1763420820000,92201.32,92375.4,92058.75,92058.75,0.04256
1763420880000,92058.75,92058.75,92058.74,92058.74,0.01466
1763420940000,92058.74,92058.74,92058.74,92058.74,0.0
1763421000000,92274.54,92274.54,92002.05,92272.33,0.00142
1763421060000,92271.6,92271.6,92002.45,92269.6,0.00189
1763421120000,92000.0,92201.96,92000.0,92196.51,0.00149
1763421180000,92196.36,92196.36,91799.0,92194.76,0.07118
1763421240000,91802.43,92194.21,91802.43,92194.13,0.00072
1763421300000,92193.26,92193.26,92193.26,92193.26,0.00054
1763421360000,91808.2,91808.2,91808.2,91808.2,0.00022
1763421420000,92142.62,92142.62,91808.61,92000.0,0.00044
1763421480000,92134.45,92134.45,92134.45,92134.45,0.00011
1763421540000,92000.0,92000.0,92000.0,92000.0,3e-05
1763421600000,92125.17,92125.17,91811.45,91811.45,0.05821
1763421660000,91811.45,91811.45,91811.45,91811.45,0.0
1763421720000,91811.45,91811.45,91811.45,91811.45,0.0
1763421780000,91811.45,91811.45,91811.45,91811.45,0.0
1763421840000,92120.52,92120.52,92120.52,92120.52,0.04944
1763421900000,92120.52,92120.52,92120.52,92120.52,0.0
1763421960000,92120.52,92120.52,92120.52,92120.52,0.0
1763422020000,92120.52,92120.52,92120.52,92120.52,0.0
1763422080000,92120.52,92120.52,92120.52,92120.52,0.0
1763422140000,92114.9,92114.9,92114.9,92114.9,0.00054
1763422200000,92114.9,92114.9,92114.9,92114.9,0.0
1763422260000,92114.9,92114.9,92114.9,92114.9,0.0
1763422320000,92110.21,92110.21,92110.21,92110.21,0.00128
1763422380000,92110.21,92110.21,92110.21,92110.21,0.0
1763422440000,92108.41,92108.41,91821.84,91821.86,0.00012
1763422500000,91823.7,91823.7,91823.7,91823.7,3e-05
1763422560000,92107.7,92107.7,92107.7,92107.7,8e-05
1763422620000,92107.7,92107.7,92107.7,92107.7,0.0
1763422680000,92107.7,92107.7,92107.7,92107.7,0.0
1763422740000,92107.7,92107.7,92107.7,92107.7,0.0
1763422800000,92146.8,92146.8,92146.8,92146.8,0.00012
1763422860000,92146.8,92146.8,92000.0,92000.0,0.00066
1763422920000,92000.0,92000.0,92000.0,92000.0,0.0
1763422980000,92000.0,92000.0,92000.0,92000.0,0.0
1763423040000,92095.61,92095.61,92095.61,92095.61,1e-05
1763423100000,92094.67,92094.67,92094.67,92094.67,0.00027
1763423160000,92096.73,92096.73,92096.73,92096.73,2e-05
1763423220000,92096.79,92096.8,92096.79,92096.8,0.0133
1763423280000,92096.8,92096.8,92096.8,92096.8,0.0
1763423340000,92096.8,92096.8,92096.8,92096.8,0.0
1763423400000,92145.96,92145.96,92145.96,92145.96,3e-05
1763423460000,91887.86,91887.86,91887.86,91887.86,3e-05
1763423520000,91888.27,91888.27,91888.27,91888.27,2e-05
1763423580000,92000.0,92000.0,91901.08,91901.08,0.28713
1763423640000,92146.39,92146.74,91903.34,91903.53,0.0001
1763423700000,92146.74,92275.96,91922.54,91922.65,0.05456
1763423760000,91924.82,92274.95,91924.82,92274.95,0.00081
1763423820000,91931.11,92273.47,91931.11,92273.35,0.00028
1763423880000,91941.33,92272.81,91941.33,92272.81,6e-05
1763423940000,92012.96,92271.68,92012.96,92271.38,7e-05
1763424000000,92015.16,92270.82,92015.16,92270.42,0.00063
1763424060000,92270.32,92270.32,92270.3,92270.3,0.00017
1763424120000,92268.82,92268.82,92268.62,92268.62,0.00554
1763424180000,92344.98,92344.98,92344.98,92344.98,1e-05
1763424240000,92023.6,92023.6,92023.6,92023.6,2e-05
1763424300000,92024.9,92344.79,92024.9,92344.79,0.00073
1763424360000,92345.03,92345.03,92345.03,92345.03,0.00022
1763424420000,92345.02,92345.02,92344.4,92344.4,6e-05
1763424480000,92344.19,92344.19,92115.31,92116.74,0.00071
1763424540000,92344.99,92344.99,92120.33,92120.33,0.00031
1763424600000,92345.5,92345.5,92344.95,92344.95,2e-05
1763424660000,92344.59,92344.59,92125.98,92126.58,0.00017
1763424720000,92343.89,92343.89,92343.15,92343.15,0.00027
1763424780000,92342.83,92342.83,92128.78,92128.99,0.00042
1763424840000,92129.49,92130.1,92129.49,92130.1,6e-05
1763424900000,92340.86,92340.86,92130.8,92131.52,0.00015
1763424960000,92339.48,92339.48,92338.97,92338.97,0.00016
1763425020000,92132.31,92133.12,92132.31,92133.12,0.00015
1763425080000,92133.31,92133.31,92133.31,92133.31,0.01558
1763425140000,92331.72,92331.72,92329.96,92329.96,9e-05
1763425200000,92328.05,92328.05,91980.28,91980.49,0.00027
1763425260000,92326.08,92326.08,92326.08,92326.08,3e-05
1763425320000,92325.31,92325.31,92325.31,92325.31,0.0035
1763425380000,92323.01,92323.01,92323.01,92323.01,1e-05
1763425440000,92012.98,92012.98,92012.98,92012.98,4e-05
1763425500000,92323.52,92323.52,92015.43,92015.76,0.00015
1763425560000,92016.15,92322.57,92016.15,92321.37,0.00013
1763425620000,92017.08,92017.08,92017.08,92017.08,3e-05
1763425680000,92017.08,92017.08,92017.08,92017.08,0.0
1763425740000,92017.08,92017.08,92017.08,92017.08,0.0
1763425800000,92315.38,92315.38,92017.12,92314.57,0.00233
1763425860000,92314.47,92314.47,92017.08,92017.08,0.00032
